Station,Measurement,Messgrösse,Messwert,Einheit,Retrieved
Bunthaus,02.10.2025 15:30,Chlorophyll Kieselalgen,87.4,µg/l,2025-10-02T16:00:02.460127Z
Bunthaus,02.10.2025 15:30,Chlorophyll (gesamt),139.4,µg/l,2025-10-02T16:00:02.460127Z
Bunthaus,02.10.2025 15:30,Chlorophyll Grünalgen,44.5,µg/l,2025-10-02T16:00:02.460127Z
Bunthaus,02.10.2025 15:50,Sauerstoffsättigung,125.6,%,2025-10-02T16:00:02.460127Z
Bunthaus,02.10.2025 16:00,Trübung,16.2,FNU,2025-10-02T16:00:02.460127Z
Bunthaus,02.10.2025 16:00,Sauerstoffkonzentration,12.9,mg/l,2025-10-02T16:00:02.460127Z
Bunthaus,02.10.2025 16:00,pH-Wert,8.9,ohne,2025-10-02T16:00:02.460127Z
Bunthaus,02.10.2025 16:00,Wassertemperatur,14.2,°C,2025-10-02T16:00:02.460127Z
Blankenese,02.10.2025 16:00,Sauerstoffkonzentration,5.9,mg/l,2025-10-02T16:00:02.521852Z
Blankenese,02.10.2025 16:00,pH-Wert,7.6,ohne,2025-10-02T16:00:02.521852Z
Blankenese,02.10.2025 16:00,Sauerstoffsättigung,60.4,%,2025-10-02T16:00:02.521852Z
Blankenese,02.10.2025 16:00,Wassertemperatur,15.9,°C,2025-10-02T16:00:02.521852Z
Blankenese,02.10.2025 16:00,Trübung,35.5,FNU,2025-10-02T16:00:02.521852Z
Bunthaus,02.10.2025 15:30,Chlorophyll Kieselalgen,87.4,µg/l,2025-10-02T19:00:01.818114Z
Bunthaus,02.10.2025 15:30,Chlorophyll (gesamt),139.4,µg/l,2025-10-02T19:00:01.818114Z
Bunthaus,02.10.2025 15:30,Chlorophyll Grünalgen,44.5,µg/l,2025-10-02T19:00:01.818114Z
Bunthaus,02.10.2025 15:50,Sauerstoffsättigung,125.6,%,2025-10-02T19:00:01.818114Z
Bunthaus,02.10.2025 16:00,Trübung,16.2,FNU,2025-10-02T19:00:01.818114Z
Bunthaus,02.10.2025 16:00,Sauerstoffkonzentration,12.9,mg/l,2025-10-02T19:00:01.818114Z
Bunthaus,02.10.2025 16:00,pH-Wert,8.9,ohne,2025-10-02T19:00:01.818114Z
Bunthaus,02.10.2025 16:00,Wassertemperatur,14.2,°C,2025-10-02T19:00:01.818114Z
Blankenese,02.10.2025 16:00,Sauerstoffkonzentration,5.9,mg/l,2025-10-02T19:00:01.897598Z
Blankenese,02.10.2025 16:00,pH-Wert,7.6,ohne,2025-10-02T19:00:01.897598Z
Blankenese,02.10.2025 16:00,Sauerstoffsättigung,60.4,%,2025-10-02T19:00:01.897598Z
Blankenese,02.10.2025 16:00,Wassertemperatur,15.9,°C,2025-10-02T19:00:01.897598Z
Blankenese,02.10.2025 16:00,Trübung,35.5,FNU,2025-10-02T19:00:01.897598Z
Bunthaus,02.10.2025 15:30,Chlorophyll Kieselalgen,87.4,µg/l,2025-10-02T22:00:01.504064Z
Bunthaus,02.10.2025 15:30,Chlorophyll (gesamt),139.4,µg/l,2025-10-02T22:00:01.504064Z
Bunthaus,02.10.2025 15:30,Chlorophyll Grünalgen,44.5,µg/l,2025-10-02T22:00:01.504064Z
Bunthaus,02.10.2025 15:50,Sauerstoffsättigung,125.6,%,2025-10-02T22:00:01.504064Z
Bunthaus,02.10.2025 16:00,Trübung,16.2,FNU,2025-10-02T22:00:01.504064Z
Bunthaus,02.10.2025 16:00,Sauerstoffkonzentration,12.9,mg/l,2025-10-02T22:00:01.504064Z
Bunthaus,02.10.2025 16:00,pH-Wert,8.9,ohne,2025-10-02T22:00:01.504064Z
Bunthaus,02.10.2025 16:00,Wassertemperatur,14.2,°C,2025-10-02T22:00:01.504064Z
Blankenese,02.10.2025 16:00,Sauerstoffkonzentration,5.9,mg/l,2025-10-02T22:00:01.583274Z
Blankenese,02.10.2025 16:00,pH-Wert,7.6,ohne,2025-10-02T22:00:01.583274Z
Blankenese,02.10.2025 16:00,Sauerstoffsättigung,60.4,%,2025-10-02T22:00:01.583274Z
Blankenese,02.10.2025 16:00,Wassertemperatur,15.9,°C,2025-10-02T22:00:01.583274Z
Blankenese,02.10.2025 16:00,Trübung,35.5,FNU,2025-10-02T22:00:01.583274Z
Bunthaus,02.10.2025 15:30,Chlorophyll Kieselalgen,87.4,µg/l,2025-10-03T01:00:01.587225Z
Bunthaus,02.10.2025 15:30,Chlorophyll (gesamt),139.4,µg/l,2025-10-03T01:00:01.587225Z
Bunthaus,02.10.2025 15:30,Chlorophyll Grünalgen,44.5,µg/l,2025-10-03T01:00:01.587225Z
